month,town-district,zipcode,temperature,rainfall (inches)
jan,Aiea,96701,73,2.7
feb,Aiea,96701,73,2.4
mar,Aiea,96701,74.3,1.9
apr,Aiea,96701,75.6,1.1
may,Aiea,96701,77.2,0.8
jun,Aiea,96701,79.5,0.4
jul,Aiea,96701,80.8,0.5
aug,Aiea,96701,81.8,0.5
sep,Aiea,96701,81.5,0.7
oct,Aiea,96701,80.2,2.2
nov,Aiea,96701,77.7,2.3
dec,Aiea,96701,74.8,2.9
jan,Ewa Beach,96706,71.6,2.8
feb,Ewa Beach,96706,71.5,2.6
mar,Ewa Beach,96706,73,1.6
apr,Ewa Beach,96706,74.7,1.1
may,Ewa Beach,96706,76.1,0.8
jun,Ewa Beach,96706,78.4,0.4
jul,Ewa Beach,96706,79.5,0.5
aug,Ewa Beach,96706,79.9,0.4
sep,Ewa Beach,96706,79.3,0.7
oct,Ewa Beach,96706,78.1,2.1
nov,Ewa Beach,96706,76,2.3
dec,Ewa Beach,96706,73.3,2.7
jan,Kapolei,96707,73,2.5
feb,Kapolei,96707,73.1,2.4
mar,Kapolei,96707,74.2,1.3
apr,Kapolei,96707,75.6,1.1
may,Kapolei,96707,76.9,0.9
jun,Kapolei,96707,79.1,0.4
jul,Kapolei,96707,80.3,0.4
aug,Kapolei,96707,80.6,0.4
sep,Kapolei,96707,80.6,0.6
oct,Kapolei,96707,79.3,2
nov,Kapolei,96707,77.1,2.3
dec,Kapolei,96707,74.7,2.5
jan,Kapolei,96709,65.9,5.1
feb,Kapolei,96709,66,4.1
mar,Kapolei,96709,66.6,2.9
apr,Kapolei,96709,67.5,2.6
may,Kapolei,96709,68.4,2.2
jun,Kapolei,96709,70.2,1.6
jul,Kapolei,96709,71.1,1.7
aug,Kapolei,96709,72.1,1.4
sep,Kapolei,96709,72.2,2.1
oct,Kapolei,96709,71.2,2.5
nov,Kapolei,96709,69.7,3.1
dec,Kapolei,96709,67.5,4.4
jan,Haleiwa,96712,70.3,5.8
feb,Haleiwa,96712,70.4,4.1
mar,Haleiwa,96712,71.9,5.7
apr,Haleiwa,96712,72.9,5
may,Haleiwa,96712,74.2,3.9
jun,Haleiwa,96712,76.1,3.6
jul,Haleiwa,96712,76.9,4.3
aug,Haleiwa,96712,77.8,3
sep,Haleiwa,96712,77.6,2.7
oct,Haleiwa,96712,76.6,4.2
nov,Haleiwa,96712,74,6.2
dec,Haleiwa,96712,71.4,6.3
jan,Hauula,96717,71.8,4
feb,Hauula,96717,71.6,3.5
mar,Hauula,96717,72.6,4.5
apr,Hauula,96717,73.7,2.2
may,Hauula,96717,74.6,2.1
jun,Hauula,96717,76.6,2
jul,Hauula,96717,77.4,2.6
aug,Hauula,96717,78.5,1.5
sep,Hauula,96717,78.6,2.5
oct,Hauula,96717,78.1,3.5
nov,Hauula,96717,75.6,5.2
dec,Hauula,96717,73.3,4.5
jan,Kaaawa,96730,73.8,4.4
feb,Kaaawa,96730,73.8,5.8
mar,Kaaawa,96730,74.4,2.9
apr,Kaaawa,96730,75.1,3.1
